-1423;121;1689;1597717989719;world
-1423;121;1690;1597717990867;world
-1423;121;1691;1597717990207;world
-1515;63;1784;1604443325996;world
-1423;121;1692;1597717854572;world
-1409;84;1677;1597631852346;world
-1419;64;1667;1597720052751;world
-1413;76;1674;1597599806501;world
-1409;84;1678;1597631457510;world
-1410;115;1678;1597716033966;world
-1409;84;1679;1597631458255;world
-1409;84;1680;1597631458861;world
-1409;84;1681;1597631459668;world
-1427;113;1696;1597715487423;world
-1409;84;1682;1597631460759;world
-1414;107;1678;1597711840268;world
-1409;84;1683;1597631461904;world
-1414;107;1679;1604430908533;world
-1409;84;1684;1597631462509;world
-1409;84;1685;1597631463114;world
-1409;84;1686;1597631463698;world
-1409;84;1687;1597631464303;world
-1423;122;1675;1597718499107;world
-1409;84;1688;1597631465354;world
-1423;122;1676;1597718498299;world
-1421;126;1678;1597719769261;world
-1409;84;1689;1597631466054;world
-1423;122;1677;1597718497093;world
-1409;84;1690;1597631466658;world
-1422;91;1678;1597635984599;world
-1423;122;1678;1597717874325;world
-1409;84;1691;1597631467246;world
-1423;122;1679;1597717892804;world
-1409;84;1692;1597631470700;world
-1410;115;1692;1597716059613;world
-1423;122;1680;1597717893013;world
-1409;84;1693;1597631845355;world
-1423;122;1681;1597717893210;world
-1515;63;1763;1604443468311;world
-1423;122;1682;1597717893410;world
-1423;122;1683;1597717893614;world
-1414;107;1691;1604430893500;world
-1414;107;1692;1597711831225;world
-1423;122;1684;1597717893814;world
-1423;122;1685;1597717894016;world
-1423;122;1686;1597717894216;world
-1423;122;1687;1597717895223;world
-1413;76;1696;1597599774858;world
-1423;122;1688;1597717895424;world
-1423;122;1689;1597717895624;world
-1418;97;1692;1597637081921;world
-1427;112;1684;1597713969915;world
-1423;120;1688;1597717086826;world
-1532;63;1771;1604443947006;world
-1427;112;1685;1597713970119;world
-1423;120;1689;1597717085531;world
-1427;112;1686;1597713970317;world
-1423;120;1690;1597717084925;world
-1427;112;1687;1597713970519;world
-1423;120;1691;1597717084150;world
-1427;112;1688;1597713970719;world
-1423;120;1692;1597717077599;world
-1427;112;1689;1597713971828;world
-1423;120;1693;1597717512971;world
-1406;122;1678;1597718483548;world
-1427;112;1690;1597713972007;world
-1427;112;1691;1597713972211;world
-1427;112;1692;1597713975559;world
-1402;64;1683;1597720717401;world
-1409;83;1678;1597631457311;world
-1410;114;1678;1597714381263;world
-1409;83;1679;1597631663023;world
-1409;83;1680;1597631626250;world
-1412;110;1678;1597712537859;world
-1409;83;1681;1597631661675;world
-1402;64;1687;1597720713772;world
-1409;83;1682;1597631460657;world
-1410;114;1682;1597716347908;world
-1409;83;1683;1597631715016;world
-1409;83;1684;1597631704002;world
-1409;83;1685;1597631719516;world
-1409;83;1686;1597631704707;world
-1418;98;1678;1597637690325;world
-1409;83;1687;1597631712567;world
-1409;83;1688;1597631465212;world
-1406;122;1692;1597718686133;world
-1409;83;1689;1597631659424;world
-1409;83;1690;1597631628401;world
-1422;90;1678;1597634885814;world
-1427;113;1674;1597715937408;world
-1423;121;1678;1597717873724;world
-1409;83;1691;1597631658424;world
-1423;121;1679;1597717979616;world
-1402;64;1697;1597720797229;world
-1409;83;1692;1597631470256;world
-1410;114;1692;1597714407760;world
-1423;121;1680;1597717985315;world
-1423;121;1681;1597717979922;world
-1422;90;1682;1597636243450;world
-1412;110;1692;1597712384312;world
-1423;121;1682;1597717892222;world
-1423;121;1683;1597717988269;world
-1423;121;1684;1597717986419;world
-1423;121;1685;1597717988760;world
-1402;64;1703;1597720769048;world
-1423;121;1686;1597717986963;world
-1423;121;1687;1597717989260;world
-1422;90;1688;1597636189858;world
-1418;98;1692;1597637739207;world
-1423;121;1688;1597717894923;world
-1422;92;1692;1597636055557;world
